Video,ID Ayam,Behavior,Status Akhir
ayammm.mp4,1,Diam,Normal
ayammm.mp4,2,Diam,Normal
ayammm.mp4,3,Diam,Normal
ayammm.mp4,4,Diam,Normal
ayammm.mp4,5,Diam,Normal
ayammm.mp4,14,Diam,Normal
ayammm.mp4,17,Diam,Normal
ayammm.mp4,19,Diam,Normal
ayammm.mp4,22,Diam,Normal
ayammm.mp4,25,Aktif,Normal
ayammm.mp4,35,Diam,Normal
ayammm.mp4,41,Diam,Normal
ayammm.mp4,42,Diam,Normal
ayammm.mp4,43,Diam,Normal
ayammm.mp4,45,Aktif,Normal
ayammm.mp4,46,Diam,Normal
ayammm.mp4,49,Aktif,Normal
ayammm.mp4,51,Diam,Normal
ayammm.mp4,61,Diam,Normal
ayammm.mp4,63,Diam,Normal
ayammm.mp4,70,Diam,Normal
ayammm.mp4,80,Diam,Normal
ayammm.mp4,87,Diam,Normal
ayammm.mp4,95,Diam,Normal
ayammm.mp4,96,Diam,Normal
ayammm.mp4,113,Aktif,Normal
ayammm.mp4,116,Diam,Normal
ayammm.mp4,117,Diam,Normal
ayammm.mp4,118,Diam,Normal
ayammm.mp4,119,Diam,Normal
ayammm.mp4,121,Diam,Normal
ayammm.mp4,132,Aktif,Normal
ayammm.mp4,134,Aktif,Normal
ayammm.mp4,135,Diam,Normal
ayammm.mp4,136,Aktif,Normal
ayammm.mp4,146,Diam,Normal
ayammm.mp4,148,Diam,Normal
ayammm.mp4,152,Diam,Normal
ayammm.mp4,154,Aktif,Normal
ayammm.mp4,155,Diam,Normal
ayammm.mp4,160,Diam,Normal
ayammm.mp4,163,Diam,Normal
ayammm.mp4,165,Aktif,Normal
ayammm.mp4,166,Diam,Normal
ayammm.mp4,167,Aktif,Normal
ayammm.mp4,174,Diam,Normal
ayammm.mp4,176,Diam,Normal
ayammm.mp4,177,Diam,Normal
ayammm.mp4,184,Diam,Normal
ayammm.mp4,189,Diam,Normal
ayammm.mp4,195,Aktif,Normal
ayammm.mp4,198,Aktif,Normal
ayammm.mp4,212,Aktif,Normal
ayammm.mp4,218,Diam,Normal
ayammm.mp4,220,Aktif,Normal
ayammm.mp4,222,Diam,Normal
ayammm.mp4,227,Diam,Normal
ayammm.mp4,237,Diam,Normal
ayammm.mp4,164,Diam,Normal
ayammm.mp4,243,Aktif,Normal
ayammm.mp4,244,Diam,Normal
ayammm.mp4,248,Diam,Normal
ayammm.mp4,249,Diam,Normal
ayammm.mp4,273,Diam,Normal
ayammm.mp4,275,Aktif,Normal
ayammm.mp4,281,Aktif,Normal
ayammm.mp4,287,Diam,Normal
ayammm.mp4,288,Diam,Normal
ayammm.mp4,289,Diam,Normal
ayammm.mp4,290,Aktif,Normal
ayammm.mp4,306,Aktif,Normal
ayammm.mp4,311,Diam,Normal
ayammm.mp4,329,Diam,Normal
ayammm.mp4,334,Aktif,Normal
ayammm.mp4,336,Diam,Normal
ayammm.mp4,337,Diam,Normal
ayammm.mp4,339,Diam,Normal
ayammm.mp4,341,Diam,Normal
ayammm.mp4,343,Diam,Normal
ayammm.mp4,345,Diam,Normal
ayammm.mp4,360,Diam,Normal
ayammm.mp4,369,Diam,Normal
ayammm.mp4,379,Aktif,Normal
ayammm.mp4,385,Diam,Normal
ayammm.mp4,390,Diam,Normal
ayammm.mp4,394,Diam,Normal
ayammm.mp4,407,Aktif,Normal
ayammm.mp4,410,Aktif,Normal
ayammm.mp4,416,Aktif,Normal
ayammm.mp4,418,Diam,Normal
ayammm.mp4,420,Aktif,Normal
ayammm.mp4,426,Aktif,Normal
ayammm.mp4,428,Diam,Normal
ayammm.mp4,430,Diam,Normal
ayammm.mp4,440,Tidak Aktif,Normal
ayammm.mp4,447,Aktif,Normal
ayammm.mp4,452,Diam,Normal
ayammm.mp4,457,Diam,Normal
ayammm.mp4,468,Aktif,Normal
ayammm.mp4,473,Aktif,Normal
ayammm.mp4,486,Diam,Normal
ayammm.mp4,506,Diam,Normal
ayammm.mp4,512,Aktif,Normal
ayammm.mp4,520,Diam,Normal
ayammm.mp4,532,Diam,Normal
ayammm.mp4,534,Aktif,Normal
ayammm.mp4,544,Diam,Normal
ayammm.mp4,545,Aktif,Normal
ayammm.mp4,547,Diam,Normal
